t,value
1515080463,0
1515080833,0
1515080833,0
1515080835,0
1515081363,0
1515081733,0
1515081733,0
1515081735,0
1515082263,0
1515082633,0
1515082633,0
1515082635,0
1515083163,0
1515083533,0
1515083535,0
1515083533,0
1515084063,0
1515084433,0
1515084433,0
1515084435,0
1515084963,0
1515085333,0
1515085333,0
1515085335,0
1515085863,0
1515086233,0
1515086233,0
1515086235,0
1515086763,0
1515087133,0
1515087133,0
1515087135,0
1515087663,0
1515088033,0
1515088033,0
1515088035,0
1515088563,0
1515088933,0
1515088933,0
1515088935,0
1515089463,0
1515089833,0
1515089833,0
1515089835,0
1515090363,0
1515090733,0
1515090733,0
1515090735,0
1515091263,0
1515091633,0
1515091633,0
1515091635,0
1515092163,0
1515092533,0
1515092533,0
1515092535,0
1515093063,0
1515093433,0
1515093433,0
1515093435,0
1515093963,0
1515094333,0
1515094333,0
1515094335,0
1515094863,0
1515095233,0
1515095233,0
1515095235,0
1515095763,0
1515096133,0
1515096133,0
1515096135,0
1515096663,0
1515097033,0
1515097033,0
1515097035,0
1515097563,0
1515097933,0
1515097933,0
1515097935,0
1515098463,0
1515098833,0
1515098833,0
1515098835,0
1515099363,0
1515099733,0
1515099733,0
1515099735,0
1515100263,0
1515100633,0
1515100633,0
1515100635,0
1515101163,0
1515101533,0
1515101533,0
1515101535,0
1515102063,0
1515102433,0
1515102433,0
1515102435,0
1515102963,0
1515103333,0
1515103333,0
1515103335,0
1515103863,0
1515104233,0
1515104233,0
1515104235,0
1515104763,0
1515105133,0
1515105133,0
1515105135,0
1515105663,0
1515106033,0
1515106033,0
1515106035,0
1515106563,0
1515106933,0
1515106933,0
1515106935,0
1515107463,0
1515107833,0
1515107833,0
1515107835,0
1515108363,0
1515108733,0
1515108733,0
1515108735,0
1515109263,0
1515109633,0
1515109633,0
1515109635,0
1515110163,0
1515110533,0
1515110533,0
1515110535,0
1515111063,0
1515111433,0
1515111433,0
1515111435,0
1515111963,0
1515112333,0
1515112333,0
1515112335,0
1515112863,0
1515113233,0
1515113233,0
1515113235,0
1515113763,0
1515114133,0
1515114133,0
1515114135,0
1515114663,0
1515115033,0
1515115033,0
1515115035,0
1515115563,0
1515115933,0
1515115933,0
1515115935,0
1515116463,0
1515116833,0
1515116833,0
1515116835,0
1515117363,0
1515117733,0
1515117733,0
1515117735,0
1515118263,0
1515118633,0
1515118633,0
1515118635,0
1515119163,0
1515119533,0
1515119533,0
1515119535,0
1515120063,0
1515120433,0
1515120433,0
1515120435,0
1515120963,0
1515121333,0
1515121333,0
1515121335,0
1515121863,0
1515122233,0
1515122233,0
1515122235,0
1515122763,0
1515123133,0
1515123133,0
1515123135,0
1515123663,0
1515124033,0
1515124033,0
1515124035,0
1515124563,0
1515124933,0
1515124933,0
1515124935,0
1515125463,0
1515125833,0
1515125833,0
1515125835,0
1515126363,0
1515126733,0
1515126733,0
1515126735,0
1515127263,0
1515127633,0
1515127633,0
1515127635,0
1515128163,0
1515128533,0
1515128533,0
1515128535,0
1515129063,0
1515129433,0
1515129433,0
1515129435,0
1515129963,0
1515130333,0
1515130333,0
1515130335,0
1515130863,0
1515131233,0
1515131233,0
1515131235,0
1515131763,0
1515132133,0
1515132133,0
1515132135,0
1515132663,0
1515133033,0
1515133033,0
1515133035,0
1515133563,0
1515133933,0
1515133933,0
1515133935,0
1515134463,0
1515134833,0
1515134833,0
1515134835,0
1515135363,0
1515135733,0
1515135733,0
1515135735,0
1515136263,0
1515136633,0
1515136633,0
1515136635,0
1515137163,0
1515137533,0
1515137533,0
1515137535,0
1515138063,0
1515138433,0
1515138433,0
1515138435,0
1515138963,0
1515139333,0
1515139333,0
1515139335,0
1515139863,0
1515140233,0
1515140233,0
1515140235,0
1515140763,0
1515141133,0
1515141133,0
1515141135,0
1515141663,0
1515142033,0
1515142033,0
1515142035,0
1515142563,0
1515142933,0
1515142933,0
1515142935,0
1515143463,0
1515143833,0
1515143833,0
1515143835,0
1515144363,0
1515144733,0
1515144733,0
1515144735,0
1515145263,0
1515145633,0
1515145633,0
1515145635,0
1515146163,0
1515146533,0
1515146533,0
1515146535,0
1515147063,0
1515147433,0
1515147433,0
1515147435,0
1515147963,0
1515148333,0
1515148333,0
1515148335,0
1515148863,0
1515149233,0
1515149233,0
1515149235,0
1515149763,0
1515150133,0
1515150133,0
1515150135,0
1515150663,0
1515151033,0
1515151033,0
1515151035,0
1515151563,0
1515151933,0
1515151933,0
1515151935,0
1515152463,0
1515152833,0
1515152833,0
1515152835,0
1515153363,0
1515153733,0
1515153733,0
1515153735,0
1515154263,0
1515154633,0
1515154633,0
1515154635,0
1515155163,0
1515155533,0
1515155533,0
1515155535,0
1515156063,0
1515156433,0
1515156433,0
1515156435,0
1515156963,0
1515157333,0
1515157333,0
1515157335,0
1515157863,0
1515158233,0
1515158233,0
1515158235,0
1515158763,0
1515159133,0
1515159133,0
1515159135,0
1515159663,0
1515160033,0
1515160033,0
1515160035,0
1515160563,0
1515160933,0
1515160933,0
1515160935,0
1515161463,0
1515161833,0
1515161833,0
1515161835,0
1515162363,0
1515162733,0
1515162733,0
1515162735,0
1515163263,0
1515163633,0
1515163633,0
1515163635,0
1515164163,0
1515164533,0
1515164533,0
1515164535,0
1515165063,0
1515165433,0
1515165433,0
1515165435,0
1515165963,0
1515166333,0
1515166333,0
1515166335,0
1515166863,0
1515167233,0
1515167233,0
1515167235,0
1515167763,0
1515168133,0
1515168133,0
1515168135,0
1515168663,0
1515169033,0
1515169033,0
1515169035,0
1515169563,0
1515169933,0
1515169933,0
1515169935,0
1515170463,0
1515170833,0
1515170833,0
1515170835,0
1515171363,0
1515171733,0
1515171733,0
1515171735,0
1515172263,0
1515172633,0
1515172633,0
1515172635,0
1515173163,0
1515173533,0
1515173533,0
1515173535,0
1515174063,0
1515174433,0
1515174433,0
1515174435,0
1515174963,0
1515175333,0
1515175333,0
1515175335,0
1515175863,0
1515176233,0
1515176233,0
1515176235,0
1515176763,0
1515177133,0
1515177133,0
1515177135,0
1515177663,0
1515178033,0
1515178033,0
1515178035,0
1515178563,0
1515178933,0
1515178933,0
1515178935,0
1515179463,0
1515179833,0
1515179833,0
1515179835,0
1515180363,0
1515180733,0
1515180733,0
1515180735,0
1515181263,0
1515181633,0
1515181633,0
1515181635,0
1515182163,0
1515182533,0
1515182533,0
1515182535,0
1515183063,0
1515183433,0
1515183433,0
1515183435,0
1515183963,0
1515184333,0
1515184333,0
1515184335,0
1515184863,0
1515185233,0
1515185233,0
1515185235,0
1515185763,0
1515186133,0
1515186133,0
1515186135,0
1515186663,0
1515187033,0
1515187033,0
1515187035,0
1515187563,0
1515187933,0
1515187933,0
1515187935,0
1515188463,0
1515188833,0
1515188833,0
1515188835,0
1515189363,0
1515189733,0
1515189733,0
1515189735,0
1515190263,0
1515190633,0
1515190633,0
1515190635,0
1515191163,0
1515191533,0
1515191533,0
1515191535,0
1515192063,0
1515192433,0
1515192433,0
1515192435,0
1515192963,0
1515193333,0
1515193333,0
1515193335,0
1515193863,0
1515194233,0
1515194233,0
1515194235,0
1515194763,0
1515195133,0
1515195133,0
1515195135,0
1515195663,0
1515196033,0
1515196033,0
1515196035,0
1515196563,0
1515196933,0
1515196933,0
1515196935,0
1515197463,0
1515197833,0
1515197833,0
1515197835,0
1515198363,0
1515198733,0
1515198733,0
1515198735,0
1515199263,0
1515199633,0
1515199633,0
1515199635,0
1515200163,0
1515200533,0
1515200533,0
1515200535,0
1515201063,0
1515201433,0
1515201433,0
1515201435,0
1515201963,0
1515202333,0
1515202333,0
1515202335,0
1515202863,0
1515203233,0
1515203233,0
1515203235,0
1515203763,0
1515204133,0
1515204133,0
1515204135,0
1515204663,0
1515205033,0
1515205033,0
1515205035,0
1515205563,0
1515205933,0
1515205933,0
1515205935,0
1515206463,0
1515206833,0
1515206833,0
1515206835,0
1515207363,0
1515207733,0
1515207733,0
1515207735,0
1515208263,0
1515208633,0
1515208633,0
1515208635,0
1515209163,0
1515209533,0
1515209533,0
1515209535,0
1515210063,0
1515210433,0
1515210433,0
1515210435,0
1515210963,0
1515211333,0
1515211333,0
1515211335,0
1515211863,0
1515212233,0
1515212233,0
1515212235,0
1515212763,0
1515213133,0
1515213133,0
1515213135,0
1515213663,0
1515214033,0
1515214033,0
1515214035,0
1515214563,0
1515214933,0
1515214933,0
1515214935,0
1515215463,0
1515215833,0
1515215833,0
1515215835,0
1515216363,0
1515216733,0
1515216733,0
1515216735,0
1515217263,0
1515217633,0
1515217633,0
1515217635,0
1515218163,0
1515218533,0
1515218533,0
1515218535,0
1515219063,0
1515219433,0
1515219433,0
1515219435,0
1515219963,0
1515220333,0
1515220333,0
1515220335,0
1515220863,0
1515221233,0
1515221233,0
1515221235,0
1515221763,0
1515222133,0
1515222133,0
1515222135,0
1515222663,0
1515223033,0
1515223033,0
1515223035,0
1515223563,0
1515223933,0
1515223933,0
1515223935,0
1515224463,0
1515224833,0
1515224833,0
1515224835,0
1515225363,0
1515225733,0
1515225733,0
1515225735,0
1515226263,0
1515226633,0
1515226633,0
1515226635,0
1515227163,0
1515227533,0
1515227533,0
1515227535,0
1515228063,0
1515228433,0
1515228433,0
1515228435,0
1515228963,0
1515229333,0
1515229333,0
1515229335,0
1515229863,0
1515230233,0
1515230233,0
1515230235,0
1515230763,0
1515231133,0
1515231133,0
1515231135,0
1515231663,0
1515232033,0
1515232033,0
1515232035,0
1515232563,0
1515232933,0
1515232933,0
1515232935,0
1515233463,0
1515233833,0
1515233833,0
1515233835,0
1515234363,0
1515234733,0
1515234733,0
1515234735,0
1515235263,0
1515235633,0
1515235633,0
1515235635,0
1515236163,0
1515236533,0
1515236533,0
1515236535,0
